ganancia,ganancia_normalizada,auc,type,semilla,tiempo,cp,ms,mb,md
751250,2504166.66666667,0.79800715228264,test,943165,4.90672707557678,0,20,1,4
2636250,3766071.42857143,0.807112557870701,train,943165,4.90672707557678,0,20,1,4
646250,2154166.66666667,0.78113045535195,test,433089,3.80803203582764,0,20,1,4
2567500,3667857.14285714,0.813973207619616,train,433089,3.80803203582764,0,20,1,4
325000,1083333.33333333,0.772232915788138,test,646686,3.8125011920929,0,20,1,4
2723750,3891071.42857143,0.812294842603154,train,646686,3.8125011920929,0,20,1,4
690000,2300000,0.777606774639764,test,421880,4.08906102180481,0,20,1,4
3590000,5128571.42857143,0.809996590771117,train,421880,4.08906102180481,0,20,1,4
1055000,3516666.66666667,0.793597490612828,test,212941,3.85536599159241,0,20,1,4
2188750,3126785.71428571,0.802137705840409,train,212941,3.85536599159241,0,20,1,4
710000,2366666.66666667,0.782450974291178,test,619097,4.03376603126526,0,20,1,4
2431250,3473214.28571429,0.806280864383414,train,619097,4.03376603126526,0,20,1,4
647500,2158333.33333333,0.78174430264938,test,643508,3.6549379825592,0,20,1,4
2597500,3710714.28571429,0.797100160246543,train,643508,3.6549379825592,0,20,1,4
1051250,3504166.66666667,0.771936220886047,test,223196,3.75092792510986,0,20,1,4
2268750,3241071.42857143,0.80314790214663,train,223196,3.75092792510986,0,20,1,4
702500,2341666.66666667,0.793999780480072,test,344194,3.81084799766541,0,20,1,4
2540000,3628571.42857143,0.805079777952183,train,344194,3.81084799766541,0,20,1,4
776250,2587500,0.782040660676582,test,466324,3.79363584518433,0,20,1,4
2561250,3658928.57142857,0.814618884032586,train,466324,3.79363584518433,0,20,1,4
712500,2375000,0.820952497210676,test,559889,4.10461688041687,0,20,1,4
2531250,3616071.42857143,0.796973371206078,train,559889,4.10461688041687,0,20,1,4
956250,3187500,0.792948669576939,test,426105,3.80712819099426,0,20,1,4
2422500,3460714.28571429,0.808969251868846,train,426105,3.80712819099426,0,20,1,4
623750,2079166.66666667,0.797613743662465,test,887463,3.93273305892944,0,20,1,4
2342500,3346428.57142857,0.803681963828887,train,887463,3.93273305892944,0,20,1,4
777500,2591666.66666667,0.684454987879854,test,575670,3.85781693458557,0,20,1,4
2533750,3619642.85714286,0.729837480787339,train,575670,3.85781693458557,0,20,1,4
530000,1766666.66666667,0.799319892474435,test,341712,3.84229588508606,0,20,1,4
1985000,2835714.28571429,0.805243325159842,train,341712,3.84229588508606,0,20,1,4
967500,3225000,0.814326566272233,test,511553,3.76616907119751,0,20,1,4
2371250,3387500,0.796732629043485,train,511553,3.76616907119751,0,20,1,4
186250,620833.333333333,0.791010291466604,test,621715,3.90952515602112,0,20,1,4
2190000,3128571.42857143,0.810406201804323,train,621715,3.90952515602112,0,20,1,4
695000,2316666.66666667,0.785145973401829,test,930317,3.80524492263794,0,20,1,4
2757500,3939285.71428571,0.812421340045649,train,930317,3.80524492263794,0,20,1,4
720000,2400000,0.714293466783156,test,958759,3.96271896362305,0,20,1,4
2235000,3192857.14285714,0.723924115082593,train,958759,3.96271896362305,0,20,1,4
261250,870833.333333333,0.781189347207515,test,854580,3.78173589706421,0,20,1,4
3058750,4369642.85714286,0.810978535720157,train,854580,3.78173589706421,0,20,1,4
705000,2350000,0.790373934801602,test,119687,3.61400580406189,0,20,1,4
2603750,3719642.85714286,0.808088642822072,train,119687,3.61400580406189,0,20,1,4
1132500,3775000,0.728659037042518,test,710540,4.07584595680237,0,20,1,4
2522500,3603571.42857143,0.721068069979655,train,710540,4.07584595680237,0,20,1,4
940000,3133333.33333333,0.793200008868997,test,251789,3.60338497161865,0,20,1,4
2175000,3107142.85714286,0.78869861149346,train,251789,3.60338497161865,0,20,1,4
673750,2245833.33333333,0.795762585523347,test,831311,3.68635296821594,0,20,1,4
2613750,3733928.57142857,0.805723934691117,train,831311,3.68635296821594,0,20,1,4
796250,2654166.66666667,0.802340618977596,test,400758,3.64683890342712,0,20,1,4
2717500,3882142.85714286,0.804601203999046,train,400758,3.64683890342712,0,20,1,4
793750,2645833.33333333,0.805048143709113,test,810489,3.60595107078552,0,20,1,4
2166250,3094642.85714286,0.80227060722294,train,810489,3.60595107078552,0,20,1,4
916250,3054166.66666667,0.805869015938225,test,175018,3.67428493499756,0,20,1,4
2491250,3558928.57142857,0.80336990353199,train,175018,3.67428493499756,0,20,1,4
891250,2970833.33333333,0.803445813612882,test,778192,3.50009703636169,0,20,1,4
2398750,3426785.71428571,0.798138910723222,train,778192,3.50009703636169,0,20,1,4
291250,970833.333333333,0.779321896573774,test,320524,3.55667901039124,0,20,1,4
2717500,3882142.85714286,0.810768607612291,train,320524,3.55667901039124,0,20,1,4
432500,1441666.66666667,0.791721526231896,test,288488,3.57345700263977,0,20,1,4
2976250,4251785.71428571,0.809464744111902,train,288488,3.57345700263977,0,20,1,4
662500,2208333.33333333,0.818677244211509,test,871386,3.82550096511841,0,20,1,4
2178750,3112500,0.830881919667496,train,871386,3.82550096511841,0,20,1,4
392500,1308333.33333333,0.783475931452943,test,699829,3.5384578704834,0,20,1,4
2753750,3933928.57142857,0.813303788402696,train,699829,3.5384578704834,0,20,1,4
366250,1220833.33333333,0.709456249629438,test,964557,3.58282208442688,0,20,1,4
2827500,4039285.71428571,0.726724650025799,train,964557,3.58282208442688,0,20,1,4
915000,3050000,0.833921598555873,test,229601,3.65047287940979,0,20,1,4
2491250,3558928.57142857,0.82494479433584,train,229601,3.65047287940979,0,20,1,4
521250,1737500,0.792389579761439,test,844578,3.58070206642151,0,20,1,4
2811250,4016071.42857143,0.802452912030792,train,844578,3.58070206642151,0,20,1,4
977500,3258333.33333333,0.809186039218607,test,712561,3.74922609329224,0,20,1,4
2431250,3473214.28571429,0.798804208314988,train,712561,3.74922609329224,0,20,1,4
258750,862500,0.78949521196658,test,868040,3.9698600769043,0,20,1,4
3027500,4325000,0.811304772164524,train,868040,3.9698600769043,0,20,1,4
1181250,3937500,0.814761563628684,test,853913,4.38389301300049,0,20,1,4
2237500,3196428.57142857,0.798957667354412,train,853913,4.38389301300049,0,20,1,4
660000,2200000,0.716351006729168,test,868784,5.32051301002502,0,20,1,4
2700000,3857142.85714286,0.71626262515469,train,868784,5.32051301002502,0,20,1,4
873750,2912500,0.804770773175645,test,633751,5.76072907447815,0,20,1,4
1638750,2341071.42857143,0.803847361562125,train,633751,5.76072907447815,0,20,1,4
307500,1025000,0.791094326438872,test,950141,6.01864290237427,0,20,1,4
2055000,2935714.28571429,0.810337687496654,train,950141,6.01864290237427,0,20,1,4
-60000,-2e+05,0.76055560714165,test,709609,5.58283710479736,0,20,1,4
355000,507142.857142857,0.766910988755107,train,709609,5.58283710479736,0,20,1,4
316250,1054166.66666667,0.79805599914152,test,637945,5.8846127986908,0,20,1,4
2781250,3973214.28571429,0.80340758135432,train,637945,5.8846127986908,0,20,1,4
990000,3300000,0.720677307176489,test,730768,6.40964913368225,0,20,1,4
2216250,3166071.42857143,0.724205787506413,train,730768,6.40964913368225,0,20,1,4
602500,2008333.33333333,0.783859386951402,test,767625,5.32245206832886,0,20,1,4
2543750,3633928.57142857,0.812315209599836,train,767625,5.32245206832886,0,20,1,4
942500,3141666.66666667,0.791843903691512,test,273723,5.06421303749085,0,20,1,4
2525000,3607142.85714286,0.802473222950941,train,273723,5.06421303749085,0,20,1,4
715000,2383333.33333333,0.791666952499906,test,213770,5.29746317863464,0,20,1,4
2382500,3403571.42857143,0.803173725389945,train,213770,5.29746317863464,0,20,1,4
1298750,4329166.66666667,0.832303159714958,test,397339,5.08370113372803,0,20,1,4
1672500,2389285.71428571,0.815150640969349,train,397339,5.08370113372803,0,20,1,4
937500,3125000,0.825884468083126,test,437556,5.19219303131104,0,20,1,4
2237500,3196428.57142857,0.828010285288463,train,437556,5.19219303131104,0,20,1,4
560000,1866666.66666667,0.802668551369378,test,292442,4.24000811576843,0,20,1,4
2732500,3903571.42857143,0.806568419235516,train,292442,4.24000811576843,0,20,1,4
505000,1683333.33333333,0.808889650566415,test,883505,3.77905893325806,0,20,1,4
2553750,3648214.28571429,0.800747551771481,train,883505,3.77905893325806,0,20,1,4
867500,2891666.66666667,0.784417098642357,test,794374,3.84540987014771,0,20,1,4
2503750,3576785.71428571,0.805371179654429,train,794374,3.84540987014771,0,20,1,4
518750,1729166.66666667,0.796474524663407,test,420696,3.81346297264099,0,20,1,4
2936250,4194642.85714286,0.807573434070114,train,420696,3.81346297264099,0,20,1,4
691250,2304166.66666667,0.773289569814442,test,925615,4.14583301544189,0,20,1,4
3058750,4369642.85714286,0.813794985183346,train,925615,4.14583301544189,0,20,1,4
840000,2800000,0.710283522481438,test,731666,3.87041211128235,0,20,1,4
2472500,3532142.85714286,0.718801024738073,train,731666,3.87041211128235,0,20,1,4
-71250,-237500,0.805099195567266,test,556680,3.97425103187561,0,20,1,4
2202500,3146428.57142857,0.838257817421943,train,556680,3.97425103187561,0,20,1,4
667500,2225000,0.804711452570221,test,944592,3.8539400100708,0,20,1,4
2691250,3844642.85714286,0.803748005161464,train,944592,3.8539400100708,0,20,1,4
972500,3241666.66666667,0.809347586040297,test,585703,3.88355898857117,0,20,1,4
2296250,3280357.14285714,0.802229716215285,train,585703,3.88355898857117,0,20,1,4
636250,2120833.33333333,0.798207592841495,test,901760,3.88935279846191,0,20,1,4
3162500,4517857.14285714,0.809859018213411,train,901760,3.88935279846191,0,20,1,4
783750,2612500,0.684260886693907,test,509440,3.77573299407959,0,20,1,4
2585000,3692857.14285714,0.71945327892833,train,509440,3.77573299407959,0,20,1,4
1157500,3858333.33333333,0.793973075488885,test,703033,3.98650813102722,0,20,1,4
2181250,3116071.42857143,0.802110497506737,train,703033,3.98650813102722,0,20,1,4
852500,2841666.66666667,0.784956312839417,test,516993,3.81811499595642,0,20,1,4
2485000,3550000,0.810084827195342,train,516993,3.81811499595642,0,20,1,4
951250,3170833.33333333,0.79497478828332,test,274566,4.09663200378418,0,20,1,4
2340000,3342857.14285714,0.808316100454065,train,274566,4.09663200378418,0,20,1,4
1278750,4262500,0.810388468196806,test,676170,3.82910895347595,0,20,1,4
2041250,2916071.42857143,0.799336604524223,train,676170,3.82910895347595,0,20,1,4
875000,2916666.66666667,0.820558169840804,test,386707,3.96081686019897,0,20,1,4
2416250,3451785.71428571,0.825725284341106,train,386707,3.96081686019897,0,20,1,4
575000,1916666.66666667,0.701817427775249,test,118327,3.89344382286072,0,20,1,4
2668750,3812500,0.723853312852389,train,118327,3.89344382286072,0,20,1,4
525000,1750000,0.698459367008409,test,189182,3.86439418792725,0,20,1,4
2787500,3982142.85714286,0.723829799962222,train,189182,3.86439418792725,0,20,1,4
977500,3258333.33333333,0.740877856760307,test,344297,3.86779022216797,0,20,1,4
1121250,1601785.71428571,0.706285353870623,train,344297,3.86779022216797,0,20,1,4
1120000,3733333.33333333,0.79224499918415,test,725804,3.88349604606628,0,20,1,4
3096250,4423214.28571429,0.815904326391978,train,725804,3.88349604606628,0,20,1,4
415000,1383333.33333333,0.799239410000995,test,785830,4.13406085968018,0,20,1,4
2616250,3737500,0.806231988077501,train,785830,4.13406085968018,0,20,1,4
1198750,3995833.33333333,0.816162442541394,test,679401,3.94775605201721,0,20,1,4
2256250,3223214.28571429,0.821764200692168,train,679401,3.94775605201721,0,20,1,4
488750,1629166.66666667,0.78593533251634,test,495811,3.97076606750488,0,20,1,4
2755000,3935714.28571429,0.811924395420396,train,495811,3.97076606750488,0,20,1,4
738750,2462500,0.802718133228016,test,852342,4.07706499099731,0,20,1,4
2531250,3616071.42857143,0.805045268453951,train,852342,4.07706499099731,0,20,1,4
1333750,4445833.33333333,0.798906240735941,test,640892,3.895348072052,0,20,1,4
1955000,2792857.14285714,0.795659705527771,train,640892,3.895348072052,0,20,1,4
1241250,4137500,0.801608314219256,test,464734,3.96576499938965,0,20,1,4
2117500,3025000,0.805119738089395,train,464734,3.96576499938965,0,20,1,4
1235000,4116666.66666667,0.815356147807471,test,992944,4.00999784469605,0,20,1,4
2217500,3167857.14285714,0.799510099708786,train,992944,4.00999784469605,0,20,1,4
736250,2454166.66666667,0.713540827031527,test,130582,3.87585496902466,0,20,1,4
2622500,3746428.57142857,0.717483826238205,train,130582,3.87585496902466,0,20,1,4
613750,2045833.33333333,0.80205684782124,test,430882,3.95583391189575,0,20,1,4
2710000,3871428.57142857,0.804247933058258,train,430882,3.95583391189575,0,20,1,4
420000,1400000,0.803398222378587,test,327801,3.96025896072388,0,20,1,4
2253750,3219642.85714286,0.804900142387289,train,327801,3.96025896072388,0,20,1,4
960000,3200000,0.79390254613716,test,955166,3.8598051071167,0,20,1,4
2505000,3578571.42857143,0.789029569581881,train,955166,3.8598051071167,0,20,1,4
527500,1758333.33333333,0.813672753362992,test,957194,3.925696849823,0,20,1,4
2477500,3539285.71428571,0.823431372832701,train,957194,3.925696849823,0,20,1,4
746250,2487500,0.821159124017489,test,774355,3.97135281562805,0,20,1,4
2475000,3535714.28571429,0.811628384227161,train,774355,3.97135281562805,0,20,1,4
-51250,-170833.333333333,0.794127088563061,test,470590,4.01175308227539,0,20,1,4
2457500,3510714.28571429,0.810015976428476,train,470590,4.01175308227539,0,20,1,4
873750,2912500,0.806475513238081,test,651887,3.89022588729858,0,20,1,4
2175000,3107142.85714286,0.802550675857925,train,651887,3.89022588729858,0,20,1,4
466250,1554166.66666667,0.775360064131179,test,818246,4.03466892242432,0,20,1,4
2518750,3598214.28571429,0.812354558502841,train,818246,4.03466892242432,0,20,1,4
737500,2458333.33333333,0.688845294556053,test,113827,4.46003293991089,0,20,1,4
2550000,3642857.14285714,0.718727985054213,train,113827,4.46003293991089,0,20,1,4
663750,2212500,0.770838529373285,test,212959,3.92927217483521,0,20,1,4
2800000,4e+06,0.796417535006168,train,212959,3.92927217483521,0,20,1,4
818750,2729166.66666667,0.687474795633318,test,875960,4.07010388374329,0,20,1,4
2473750,3533928.57142857,0.6963216979687,train,875960,4.07010388374329,0,20,1,4
520000,1733333.33333333,0.781399097763298,test,858970,3.9282021522522,0,20,1,4
2770000,3957142.85714286,0.80884828918013,train,858970,3.9282021522522,0,20,1,4
780000,2600000,0.735804857809397,test,672427,3.94448208808899,0,20,1,4
2387500,3410714.28571429,0.715391560333785,train,672427,3.94448208808899,0,20,1,4
261250,870833.333333333,0.736110801458436,test,885779,4.02286887168884,0,20,1,4
2526250,3608928.57142857,0.75754449185005,train,885779,4.02286887168884,0,20,1,4
687500,2291666.66666667,0.815921270745981,test,222732,3.99883890151978,0,20,1,4
1625000,2321428.57142857,0.800090783420341,train,222732,3.99883890151978,0,20,1,4
182500,608333.333333333,0.813126342293307,test,186433,4.07935309410095,0,20,1,4
2503750,3576785.71428571,0.799024729279884,train,186433,4.07935309410095,0,20,1,4
538750,1795833.33333333,0.811267129781847,test,185878,4.05009484291077,0,20,1,4
2752500,3932142.85714286,0.801175813859468,train,185878,4.05009484291077,0,20,1,4
486250,1620833.33333333,0.777567054027872,test,235635,3.99902105331421,0,20,1,4
2807500,4010714.28571429,0.803060888190818,train,235635,3.99902105331421,0,20,1,4
808750,2695833.33333333,0.726647679581266,test,988363,3.96234083175659,0,20,1,4
2120000,3028571.42857143,0.710981056921068,train,988363,3.96234083175659,0,20,1,4
1135000,3783333.33333333,0.814179321320824,test,398999,4.60766506195068,0,20,1,4
2226250,3180357.14285714,0.799725203680621,train,398999,4.60766506195068,0,20,1,4
1243750,4145833.33333333,0.845165410470415,test,917915,5.38075494766235,0,20,1,4
1788750,2555357.14285714,0.822858663204098,train,917915,5.38075494766235,0,20,1,4
512500,1708333.33333333,0.811705342762237,test,426236,4.72997093200684,0,20,1,4
2730000,3900000,0.823642108442638,train,426236,4.72997093200684,0,20,1,4
1071250,3570833.33333333,0.805600986026675,test,793416,3.9757571220398,0,20,1,4
2168750,3098214.28571429,0.796385033047807,train,793416,3.9757571220398,0,20,1,4
751250,2504166.66666667,0.79800715228264,test,943165,5.285893201828,0,20,1,5
2636250,3766071.42857143,0.807112557870701,train,943165,5.285893201828,0,20,1,5
646250,2154166.66666667,0.78113045535195,test,433089,5.03250694274902,0,20,1,5
2567500,3667857.14285714,0.813973207619616,train,433089,5.03250694274902,0,20,1,5
325000,1083333.33333333,0.772232915788138,test,646686,4.6074321269989,0,20,1,5
2723750,3891071.42857143,0.812308429947031,train,646686,4.6074321269989,0,20,1,5
870000,2900000,0.778149143210783,test,421880,4.62126779556274,0,20,1,5
4092500,5846428.57142857,0.810842667889045,train,421880,4.62126779556274,0,20,1,5
1055000,3516666.66666667,0.793597490612828,test,212941,4.7158739566803,0,20,1,5
2188750,3126785.71428571,0.802137705840409,train,212941,4.7158739566803,0,20,1,5
710000,2366666.66666667,0.782448095542129,test,619097,4.60419702529907,0,20,1,5
2480000,3542857.14285714,0.806516733495314,train,619097,4.60419702529907,0,20,1,5
647500,2158333.33333333,0.78174430264938,test,643508,4.64075493812561,0,20,1,5
2597500,3710714.28571429,0.797100160246543,train,643508,4.64075493812561,0,20,1,5
1051250,3504166.66666667,0.771936220886047,test,223196,4.47776818275452,0,20,1,5
2317500,3310714.28571429,0.803390949054717,train,223196,4.47776818275452,0,20,1,5
836250,2787500,0.796438448425312,test,344194,4.47939896583557,0,20,1,5
3436250,4908928.57142857,0.810508821859189,train,344194,4.47939896583557,0,20,1,5
776250,2587500,0.782040660676582,test,466324,4.69146800041199,0,20,1,5
2561250,3658928.57142857,0.814640641727279,train,466324,4.69146800041199,0,20,1,5
938750,3129166.66666667,0.819934308171678,test,559889,4.61177182197571,0,20,1,5
3378750,4826785.71428571,0.799221428933683,train,559889,4.61177182197571,0,20,1,5
952500,3175000,0.792920831461126,test,426105,4.60710787773132,0,20,1,5
